Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Brown,Mixed,Intact Female,Stray,Austin Area,1095,,A699128
Black,Mixed,Neutered Male,Owner Surrender,Austin Area,1460,Axle,A744010
Black,Domestic,Intact Male,Stray,Austin Area,28,*Charlie,A796145
Black,Domestic,Neutered Male,Stray,Austin Area,5110,,A812121
Black,Other,Unknown,Wildlife,Austin Area,28,,A709360
Brown,Mixed,Intact Female,Stray,Austin Area,21,,A688747
Black,Shepherd,Neutered Male,Owner Surrender,Other,730,Delgado,A812020
White,Mixed,Intact Male,Stray,Austin Area,365,,A806727
Other,Mixed,Spayed Female,Owner Surrender,Austin Area,1825,Duckie,A739423
Black,Pit Bull,Intact Female,Stray,Austin Area,365,*Fija,A807675
White,Mixed,Intact Male,Stray,Austin Area,60,,A799428
Black,Mixed,Spayed Female,Stray,Austin Area,5110,Applez,A748160
Brown,Mixed,Intact Female,Stray,Austin Area,30,*Margarita,A790617
Black,Terrier,Spayed Female,Stray,Austin Area,270,China,A663237
Other,Mixed,Intact Female,Owner Surrender,Austin Area,730,Ash,A815427
White,Mixed,Intact Female,Stray,Austin Area,1460,Scooby Dee,A733066
White,Shepherd,Intact Male,Stray,Austin Area,240,,A740708
Orange,Mixed,Intact Male,Stray,Austin Area,7,,A664262
White,Mixed,Neutered Male,Stray,Austin Area,2920,Norman,A720351
Brown,Chihuahua,Spayed Female,Stray,Austin Area,4380,Coco,A596218
White,Domestic,Intact Male,Stray,Austin Area,5,,A821941
Brown,Mixed,Intact Female,Stray,Other,180,,A740584
Other,Mixed,Intact Female,Stray,Austin Area,730,Myrtle,A713772
Gray,Domestic,Intact Female,Owner Surrender,Austin Area,60,Churches,A801103
Other,Mixed,Unknown,Stray,Other,7,,A732885
White,Mixed,Intact Male,Stray,Other,730,,A689869
White,Mixed,Intact Male,Stray,Austin Area,30,Mo,A667026
Black,Mixed,Neutered Male,Owner Surrender,Austin Area,1460,*Rexx,A787054
Black,Mixed,Intact Female,Stray,Austin Area,28,,A749815
